id,Brand,Model,Year,Status,Price
0,Acura,TLX A-Spec,2022,New,49445.0
1,Acura,RDX A-Spec,2023,New,50895.0
2,Acura,TLX Type,2023,New,57745.0
3,Acura,TLX Type,2023,New,57545.0
4,Acura,MDX Sport,2019,Used,40990.0
5,Acura,TLX A-Spec,2023,New,50195.0
8,Acura,TLX A-Spec,2023,New,47995.0
9,Acura,TLX A-Spec,2022,New,49545.0
10,Acura,Integra w/A-Spec,2023,New,36895.0
11,Acura,TLX A-Spec,2023,New,48395.0
12,Acura,MDX Type,2023,New,75590.0
13,Acura,RDX A-Spec,2023,New,55345.0
15,Acura,RDX A-Spec,2023,New,55045.0
16,Acura,TLX Type,2023,New,56445.0
17,Acura,TLX A-Spec,2023,New,47495.0
18,Acura,TLX Advance,2023,New,52245.0
19,Acura,TLX A-Spec,2023,New,50595.0
20,Acura,RDX Base,2023,New,43045.0
21,Acura,RDX A-Spec,2023,New,51195.0
25,Acura,MDX Type,2022,New,68245.0
27,Acura,TLX Type,2023,New,57640.0
32,Acura,TLX A-Spec,2022,New,48945.0
33,Acura,RDX A-Spec,2023,New,54150.0
34,Acura,TLX Advance,2022,New,51495.0
35,Acura,Integra Base,2023,New,32395.0
37,Acura,TLX Technology,2023,New,45645.0
39,Acura,TLX w/A-Spec,2022,New,46745.0
40,Acura,TLX Type,2023,New,56945.0
41,Acura,MDX Technology,2023,New,58145.0
42,Acura,MDX A-Spec,2023,New,61645.0
43,Acura,RDX A-Spec,2023,New,48695.0
46,Acura,MDX Advance,2023,New,65890.0
47,Acura,RDX Technology,2022,New,46645.0
49,Acura,RDX Technology,2023,New,45195.0
50,Acura,TLX w/Advance,2022,New,51495.0
52,Acura,RDX Base,2023,New,45545.0
54,Acura,RDX Technology,2022,New,44945.0
56,Acura,Integra w/A-Spec,2023,New,37395.0
57,Acura,TLX Technology,2022,New,46195.0
58,Acura,MDX Advance,2023,New,65195.0
61,Acura,RDX A-Spec,2023,Used,48844.0
62,Acura,RDX A-Spec,2023,New,48395.0
63,Acura,Integra A-Spec,2023,New,37395.0
65,Acura,MDX Type,2023,New,74395.0
66,Acura,TLX Technology,2023,New,44745.0
67,Acura,RDX A-Spec,2023,New,55240.0
69,Acura,RDX Technology,2023,New,48195.0
71,Acura,TLX Base,2023,New,41645.0
72,Acura,RDX Advance,2023,New,52545.0
75,Acura,ILX Premium,2022,New,32845.0
77,Acura,TLX A-Spec,2023,New,49695.0
78,Acura,TLX A-Spec,2023,New,49645.0
80,Acura,MDX A-Spec,2023,New,61745.0
81,Acura,MDX Advance,2023,New,66064.0
83,Acura,Integra A-Spec,2023,Used,34452.0
85,Acura,MDX Technology,2022,New,54945.0
86,Acura,MDX Advance,2023,New,65464.0
91,Acura,RDX Base,2023,New,45245.0
92,Acura,MDX Type,2023,New,74895.0
93,Acura,TLX A-Spec,2023,New,50495.0
94,Acura,MDX Base,2023,New,53445.0
96,Acura,Integra w/A-Spec,2023,New,38095.0
97,Acura,TLX Technology,2023,New,45245.0
98,Acura,MDX Type,2022,New,73595.0
99,Acura,Integra A-Spec,2023,New,34395.0
102,Acura,TLX A-Spec,2023,New,50145.0
104,Acura,TLX Base,2023,New,40745.0
106,Acura,RDX A-Spec,2022,New,49645.0
107,Acura,RDX A-Spec,2023,New,50395.0
108,Acura,Integra w/A-Spec,2023,New,37895.0
110,Acura,MDX Type,2023,New,69045.0
111,Acura,MDX A-Spec,2023,New,61145.0
115,Acura,TLX Technology,2022,New,44495.0
116,Acura,MDX Technology,2022,New,55445.0
120,Acura,MDX Base,2023,New,52445.0
